District,State,Year,Status
Deoghar,Jharkhand,2013,No matched historical weather observation
Deoghar,Jharkhand,2014,No matched historical weather observation
Deoghar,Jharkhand,2015,No matched historical weather observation
Deoghar,Jharkhand,2016,No matched historical weather observation
Deoghar,Jharkhand,2017,No matched historical weather observation
Deoghar,Jharkhand,2018,No matched historical weather observation
Deoghar,Jharkhand,2019,No matched historical weather observation
Deoghar,Jharkhand,2020,No matched historical weather observation
Deoghar,Jharkhand,2021,No matched historical weather observation
Deoghar,Jharkhand,2022,No matched historical weather observation
Deoria,Uttar Pradesh,2013,No matched historical weather observation
Deoria,Uttar Pradesh,2014,No matched historical weather observation
Deoria,Uttar Pradesh,2015,No matched historical weather observation
Deoria,Uttar Pradesh,2016,No matched historical weather observation
Deoria,Uttar Pradesh,2017,No matched historical weather observation
Deoria,Uttar Pradesh,2018,No matched historical weather observation
Deoria,Uttar Pradesh,2019,No matched historical weather observation
Deoria,Uttar Pradesh,2020,No matched historical weather observation
Deoria,Uttar Pradesh,2021,No matched historical weather observation
Deoria,Uttar Pradesh,2022,No matched historical weather observation
Dhalai,Tripura,2013,No matched historical weather observation
Dhalai,Tripura,2014,No matched historical weather observation
Dhalai,Tripura,2015,No matched historical weather observation
Dhalai,Tripura,2016,No matched historical weather observation
Dhalai,Tripura,2017,No matched historical weather observation
Dhalai,Tripura,2018,No matched historical weather observation
Dhalai,Tripura,2019,No matched historical weather observation
Dhalai,Tripura,2020,No matched historical weather observation
Dhalai,Tripura,2021,No matched historical weather observation
Dhalai,Tripura,2022,No matched historical weather observation
Dhamtari,Chhattisgarh,2013,No matched historical weather observation
Dhamtari,Chhattisgarh,2014,No matched historical weather observation
Dhamtari,Chhattisgarh,2015,No matched historical weather observation
Dhamtari,Chhattisgarh,2016,No matched historical weather observation
Dhamtari,Chhattisgarh,2017,No matched historical weather observation
Dhamtari,Chhattisgarh,2018,No matched historical weather observation
Dhamtari,Chhattisgarh,2019,No matched historical weather observation
Dhamtari,Chhattisgarh,2020,No matched historical weather observation
Dhamtari,Chhattisgarh,2021,No matched historical weather observation
Dhamtari,Chhattisgarh,2022,No matched historical weather observation
Dhanbad,Jharkhand,2013,No matched historical weather observation
Dhanbad,Jharkhand,2014,No matched historical weather observation
Dhanbad,Jharkhand,2015,No matched historical weather observation
Dhanbad,Jharkhand,2016,No matched historical weather observation
Dhanbad,Jharkhand,2017,No matched historical weather observation
Dhanbad,Jharkhand,2018,No matched historical weather observation
Dhanbad,Jharkhand,2019,No matched historical weather observation
Dhanbad,Jharkhand,2020,No matched historical weather observation
Dhanbad,Jharkhand,2021,No matched historical weather observation
Dhanbad,Jharkhand,2022,No matched historical weather observation
Dharmapuri,Tamil Nadu,2013,No matched historical weather observation
Dharmapuri,Tamil Nadu,2014,No matched historical weather observation
Dharmapuri,Tamil Nadu,2015,No matched historical weather observation
Dharmapuri,Tamil Nadu,2016,No matched historical weather observation
Dharmapuri,Tamil Nadu,2017,No matched historical weather observation
Dharmapuri,Tamil Nadu,2018,No matched historical weather observation
Dharmapuri,Tamil Nadu,2019,No matched historical weather observation
Dharmapuri,Tamil Nadu,2020,No matched historical weather observation
Dharmapuri,Tamil Nadu,2021,No matched historical weather observation
Dharmapuri,Tamil Nadu,2022,No matched historical weather observation
Dhenkanal,Odisha,2013,No matched historical weather observation
Dhenkanal,Odisha,2014,No matched historical weather observation
Dhenkanal,Odisha,2015,No matched historical weather observation
Dhenkanal,Odisha,2016,No matched historical weather observation
Dhenkanal,Odisha,2017,No matched historical weather observation
Dhenkanal,Odisha,2018,No matched historical weather observation
Dhenkanal,Odisha,2019,No matched historical weather observation
Dhenkanal,Odisha,2020,No matched historical weather observation
Dhenkanal,Odisha,2021,No matched historical weather observation
Dhenkanal,Odisha,2022,No matched historical weather observation
Dhubri,Assam,2013,No matched historical weather observation
Dhubri,Assam,2014,No matched historical weather observation
Dhubri,Assam,2015,No matched historical weather observation
Dhubri,Assam,2016,No matched historical weather observation
Dhubri,Assam,2017,No matched historical weather observation
Dhubri,Assam,2018,No matched historical weather observation
Dhubri,Assam,2019,No matched historical weather observation
Dhubri,Assam,2020,No matched historical weather observation
Dhubri,Assam,2021,No matched historical weather observation
Dhubri,Assam,2022,No matched historical weather observation
Dibrugarh,Assam,2013,No matched historical weather observation
Dibrugarh,Assam,2014,No matched historical weather observation
Dibrugarh,Assam,2015,No matched historical weather observation
Dibrugarh,Assam,2016,No matched historical weather observation
Dibrugarh,Assam,2017,No matched historical weather observation
Dibrugarh,Assam,2018,No matched historical weather observation
Dibrugarh,Assam,2019,No matched historical weather observation
Dibrugarh,Assam,2020,No matched historical weather observation
Dibrugarh,Assam,2021,No matched historical weather observation
Dibrugarh,Assam,2022,No matched historical weather observation
Dimapur,Nagaland,2013,No matched historical weather observation
Dimapur,Nagaland,2014,No matched historical weather observation
Dimapur,Nagaland,2015,No matched historical weather observation
Dimapur,Nagaland,2016,No matched historical weather observation
Dimapur,Nagaland,2017,No matched historical weather observation
Dimapur,Nagaland,2018,No matched historical weather observation
Dimapur,Nagaland,2019,No matched historical weather observation
Dimapur,Nagaland,2020,No matched historical weather observation
Dimapur,Nagaland,2021,No matched historical weather observation
Dimapur,Nagaland,2022,No matched historical weather observation
Dindori,Madhya Pradesh,2013,No matched historical weather observation
Dindori,Madhya Pradesh,2014,No matched historical weather observation
Dindori,Madhya Pradesh,2015,No matched historical weather observation
Dindori,Madhya Pradesh,2016,No matched historical weather observation
Dindori,Madhya Pradesh,2017,No matched historical weather observation
Dindori,Madhya Pradesh,2018,No matched historical weather observation
Dindori,Madhya Pradesh,2019,No matched historical weather observation
Dindori,Madhya Pradesh,2020,No matched historical weather observation
Dindori,Madhya Pradesh,2021,No matched historical weather observation
Dindori,Madhya Pradesh,2022,No matched historical weather observation
Dumka,Jharkhand,2013,No matched historical weather observation
Dumka,Jharkhand,2014,No matched historical weather observation
Dumka,Jharkhand,2015,No matched historical weather observation
Dumka,Jharkhand,2016,No matched historical weather observation
Dumka,Jharkhand,2017,No matched historical weather observation
Dumka,Jharkhand,2018,No matched historical weather observation
Dumka,Jharkhand,2019,No matched historical weather observation
Dumka,Jharkhand,2020,No matched historical weather observation
Dumka,Jharkhand,2021,No matched historical weather observation
Dumka,Jharkhand,2022,No matched historical weather observation
Durg,Chhattisgarh,2013,No matched historical weather observation
Durg,Chhattisgarh,2014,No matched historical weather observation
Durg,Chhattisgarh,2015,No matched historical weather observation
Durg,Chhattisgarh,2016,No matched historical weather observation
Durg,Chhattisgarh,2017,No matched historical weather observation
Durg,Chhattisgarh,2018,No matched historical weather observation
Durg,Chhattisgarh,2019,No matched historical weather observation
Durg,Chhattisgarh,2020,No matched historical weather observation
Durg,Chhattisgarh,2021,No matched historical weather observation
Durg,Chhattisgarh,2022,No matched historical weather observation
Erode,Tamil Nadu,2013,No matched historical weather observation
Erode,Tamil Nadu,2014,No matched historical weather observation
Erode,Tamil Nadu,2015,No matched historical weather observation
Erode,Tamil Nadu,2016,No matched historical weather observation
Erode,Tamil Nadu,2017,No matched historical weather observation
Erode,Tamil Nadu,2018,No matched historical weather observation
Erode,Tamil Nadu,2019,No matched historical weather observation
Erode,Tamil Nadu,2020,No matched historical weather observation
Erode,Tamil Nadu,2021,No matched historical weather observation
Erode,Tamil Nadu,2022,No matched historical weather observation
Etawah,Uttar Pradesh,2013,No matched historical weather observation
Etawah,Uttar Pradesh,2014,No matched historical weather observation
Etawah,Uttar Pradesh,2015,No matched historical weather observation
Etawah,Uttar Pradesh,2016,No matched historical weather observation
Etawah,Uttar Pradesh,2017,No matched historical weather observation
Etawah,Uttar Pradesh,2018,No matched historical weather observation
Etawah,Uttar Pradesh,2019,No matched historical weather observation
Etawah,Uttar Pradesh,2020,No matched historical weather observation
Etawah,Uttar Pradesh,2021,No matched historical weather observation
Etawah,Uttar Pradesh,2022,No matched historical weather observation
Faizabad,Uttar Pradesh,2013,No matched historical weather observation
Faizabad,Uttar Pradesh,2014,No matched historical weather observation
Faizabad,Uttar Pradesh,2015,No matched historical weather observation
Faizabad,Uttar Pradesh,2016,No matched historical weather observation
Faizabad,Uttar Pradesh,2017,No matched historical weather observation
Faizabad,Uttar Pradesh,2018,No matched historical weather observation
Faizabad,Uttar Pradesh,2019,No matched historical weather observation
Faizabad,Uttar Pradesh,2020,No matched historical weather observation
Faizabad,Uttar Pradesh,2021,No matched historical weather observation
Faizabad,Uttar Pradesh,2022,No matched historical weather observation
Fatehgarh sahib,Punjab,2013,No matched historical weather observation
Fatehgarh sahib,Punjab,2014,No matched historical weather observation
Fatehgarh sahib,Punjab,2015,No matched historical weather observation
Fatehgarh sahib,Punjab,2016,No matched historical weather observation
Fatehgarh sahib,Punjab,2017,No matched historical weather observation
Fatehgarh sahib,Punjab,2018,No matched historical weather observation
Fatehgarh sahib,Punjab,2019,No matched historical weather observation
Fatehgarh sahib,Punjab,2020,No matched historical weather observation
Fatehgarh sahib,Punjab,2021,No matched historical weather observation
Fatehgarh sahib,Punjab,2022,No matched historical weather observation
Fatehpur,Uttar Pradesh,2013,No matched historical weather observation
Fatehpur,Uttar Pradesh,2014,No matched historical weather observation
Fatehpur,Uttar Pradesh,2015,No matched historical weather observation
Fatehpur,Uttar Pradesh,2016,No matched historical weather observation
Fatehpur,Uttar Pradesh,2017,No matched historical weather observation
Fatehpur,Uttar Pradesh,2018,No matched historical weather observation
Fatehpur,Uttar Pradesh,2019,No matched historical weather observation
Fatehpur,Uttar Pradesh,2020,No matched historical weather observation
Fatehpur,Uttar Pradesh,2021,No matched historical weather observation
Fatehpur,Uttar Pradesh,2022,No matched historical weather observation
Fazilka,Punjab,2013,No matched historical weather observation
Fazilka,Punjab,2014,No matched historical weather observation
Fazilka,Punjab,2015,No matched historical weather observation
Fazilka,Punjab,2016,No matched historical weather observation
Fazilka,Punjab,2017,No matched historical weather observation
Fazilka,Punjab,2018,No matched historical weather observation
Fazilka,Punjab,2019,No matched historical weather observation
Fazilka,Punjab,2020,No matched historical weather observation
Fazilka,Punjab,2021,No matched historical weather observation
Fazilka,Punjab,2022,No matched historical weather observation
Firozabad,Uttar Pradesh,2013,No matched historical weather observation
Firozabad,Uttar Pradesh,2014,No matched historical weather observation
Firozabad,Uttar Pradesh,2015,No matched historical weather observation
Firozabad,Uttar Pradesh,2016,No matched historical weather observation
Firozabad,Uttar Pradesh,2017,No matched historical weather observation
Firozabad,Uttar Pradesh,2018,No matched historical weather observation
Firozabad,Uttar Pradesh,2019,No matched historical weather observation
Firozabad,Uttar Pradesh,2020,No matched historical weather observation
Firozabad,Uttar Pradesh,2021,No matched historical weather observation
Firozabad,Uttar Pradesh,2022,No matched historical weather observation
Gadchiroli,Maharashtra,2013,No matched historical weather observation
Gadchiroli,Maharashtra,2014,No matched historical weather observation
Gadchiroli,Maharashtra,2015,No matched historical weather observation
Gadchiroli,Maharashtra,2016,No matched historical weather observation
Gadchiroli,Maharashtra,2017,No matched historical weather observation
Gadchiroli,Maharashtra,2018,No matched historical weather observation
Gadchiroli,Maharashtra,2019,No matched historical weather observation
Gadchiroli,Maharashtra,2020,No matched historical weather observation
Gadchiroli,Maharashtra,2021,No matched historical weather observation
Gadchiroli,Maharashtra,2022,No matched historical weather observation
Gajapati,Odisha,2013,No matched historical weather observation
Gajapati,Odisha,2014,No matched historical weather observation
Gajapati,Odisha,2015,No matched historical weather observation
Gajapati,Odisha,2016,No matched historical weather observation
Gajapati,Odisha,2017,No matched historical weather observation
Gajapati,Odisha,2018,No matched historical weather observation
Gajapati,Odisha,2019,No matched historical weather observation
Gajapati,Odisha,2020,No matched historical weather observation
Gajapati,Odisha,2021,No matched historical weather observation
Gajapati,Odisha,2022,No matched historical weather observation
Garhwa,Jharkhand,2013,No matched historical weather observation
Garhwa,Jharkhand,2014,No matched historical weather observation
Garhwa,Jharkhand,2015,No matched historical weather observation
Garhwa,Jharkhand,2016,No matched historical weather observation
Garhwa,Jharkhand,2017,No matched historical weather observation
Garhwa,Jharkhand,2018,No matched historical weather observation
Garhwa,Jharkhand,2019,No matched historical weather observation
Garhwa,Jharkhand,2020,No matched historical weather observation
Garhwa,Jharkhand,2021,No matched historical weather observation
Garhwa,Jharkhand,2022,No matched historical weather observation
Gaurella-pendra-marwahi,Chhattisgarh,2019,No matched historical weather observation
Gaurella-pendra-marwahi,Chhattisgarh,2020,No matched historical weather observation
Gaurella-pendra-marwahi,Chhattisgarh,2021,No matched historical weather observation
Gaurella-pendra-marwahi,Chhattisgarh,2022,No matched historical weather observation
Gaya,Bihar,2013,No matched historical weather observation
Gaya,Bihar,2014,No matched historical weather observation
Gaya,Bihar,2015,No matched historical weather observation
Gaya,Bihar,2016,No matched historical weather observation
Gaya,Bihar,2017,No matched historical weather observation
Gaya,Bihar,2018,No matched historical weather observation
Gaya,Bihar,2019,No matched historical weather observation
Gaya,Bihar,2020,No matched historical weather observation
Gaya,Bihar,2021,No matched historical weather observation
Gaya,Bihar,2022,No matched historical weather observation
Ghazipur,Uttar Pradesh,2013,No matched historical weather observation
Ghazipur,Uttar Pradesh,2014,No matched historical weather observation
Ghazipur,Uttar Pradesh,2015,No matched historical weather observation
Ghazipur,Uttar Pradesh,2016,No matched historical weather observation
Ghazipur,Uttar Pradesh,2017,No matched historical weather observation
Ghazipur,Uttar Pradesh,2018,No matched historical weather observation
Ghazipur,Uttar Pradesh,2019,No matched historical weather observation
Ghazipur,Uttar Pradesh,2020,No matched historical weather observation
Ghazipur,Uttar Pradesh,2021,No matched historical weather observation
Ghazipur,Uttar Pradesh,2022,No matched historical weather observation
Giridih,Jharkhand,2013,No matched historical weather observation
Giridih,Jharkhand,2014,No matched historical weather observation
Giridih,Jharkhand,2015,No matched historical weather observation
Giridih,Jharkhand,2016,No matched historical weather observation
Giridih,Jharkhand,2017,No matched historical weather observation
Giridih,Jharkhand,2018,No matched historical weather observation
Giridih,Jharkhand,2019,No matched historical weather observation
Giridih,Jharkhand,2020,No matched historical weather observation
Giridih,Jharkhand,2021,No matched historical weather observation
Giridih,Jharkhand,2022,No matched historical weather observation
Goalpara,Assam,2013,No matched historical weather observation
Goalpara,Assam,2014,No matched historical weather observation
Goalpara,Assam,2015,No matched historical weather observation
Goalpara,Assam,2016,No matched historical weather observation
Goalpara,Assam,2017,No matched historical weather observation
Goalpara,Assam,2018,No matched historical weather observation
Goalpara,Assam,2019,No matched historical weather observation
Goalpara,Assam,2020,No matched historical weather observation
Goalpara,Assam,2021,No matched historical weather observation
Goalpara,Assam,2022,No matched historical weather observation
Godda,Jharkhand,2013,No matched historical weather observation
Godda,Jharkhand,2014,No matched historical weather observation
Godda,Jharkhand,2015,No matched historical weather observation
Godda,Jharkhand,2016,No matched historical weather observation
Godda,Jharkhand,2017,No matched historical weather observation
Godda,Jharkhand,2018,No matched historical weather observation
Godda,Jharkhand,2019,No matched historical weather observation
Godda,Jharkhand,2020,No matched historical weather observation
Godda,Jharkhand,2021,No matched historical weather observation
Godda,Jharkhand,2022,No matched historical weather observation
Golaghat,Assam,2013,No matched historical weather observation
Golaghat,Assam,2014,No matched historical weather observation
Golaghat,Assam,2015,No matched historical weather observation
Golaghat,Assam,2016,No matched historical weather observation
Golaghat,Assam,2017,No matched historical weather observation
Golaghat,Assam,2018,No matched historical weather observation
Golaghat,Assam,2019,No matched historical weather observation
Golaghat,Assam,2020,No matched historical weather observation
Golaghat,Assam,2021,No matched historical weather observation
Golaghat,Assam,2022,No matched historical weather observation
Gonda,Uttar Pradesh,2013,No matched historical weather observation
Gonda,Uttar Pradesh,2014,No matched historical weather observation
Gonda,Uttar Pradesh,2015,No matched historical weather observation
Gonda,Uttar Pradesh,2016,No matched historical weather observation
Gonda,Uttar Pradesh,2017,No matched historical weather observation
Gonda,Uttar Pradesh,2018,No matched historical weather observation
Gonda,Uttar Pradesh,2019,No matched historical weather observation
Gonda,Uttar Pradesh,2020,No matched historical weather observation
Gonda,Uttar Pradesh,2021,No matched historical weather observation
Gonda,Uttar Pradesh,2022,No matched historical weather observation
Gopalganj,Bihar,2013,No matched historical weather observation
Gopalganj,Bihar,2014,No matched historical weather observation
Gopalganj,Bihar,2015,No matched historical weather observation
Gopalganj,Bihar,2016,No matched historical weather observation
Gopalganj,Bihar,2017,No matched historical weather observation
Gopalganj,Bihar,2018,No matched historical weather observation
Gopalganj,Bihar,2019,No matched historical weather observation
Gopalganj,Bihar,2020,No matched historical weather observation
Gopalganj,Bihar,2021,No matched historical weather observation
Gopalganj,Bihar,2022,No matched historical weather observation
Gumla,Jharkhand,2013,No matched historical weather observation
Gumla,Jharkhand,2014,No matched historical weather observation
Gumla,Jharkhand,2015,No matched historical weather observation
Gumla,Jharkhand,2016,No matched historical weather observation
Gumla,Jharkhand,2017,No matched historical weather observation
Gumla,Jharkhand,2018,No matched historical weather observation
Gumla,Jharkhand,2019,No matched historical weather observation
Gumla,Jharkhand,2020,No matched historical weather observation
Gumla,Jharkhand,2021,No matched historical weather observation
Gumla,Jharkhand,2022,No matched historical weather observation
Gwalior,Madhya Pradesh,2013,No matched historical weather observation
Gwalior,Madhya Pradesh,2014,No matched historical weather observation
Gwalior,Madhya Pradesh,2015,No matched historical weather observation
Gwalior,Madhya Pradesh,2016,No matched historical weather observation
Gwalior,Madhya Pradesh,2017,No matched historical weather observation
Gwalior,Madhya Pradesh,2018,No matched historical weather observation
Gwalior,Madhya Pradesh,2019,No matched historical weather observation
Gwalior,Madhya Pradesh,2020,No matched historical weather observation
Gwalior,Madhya Pradesh,2021,No matched historical weather observation
Gwalior,Madhya Pradesh,2022,No matched historical weather observation
Hailakandi,Assam,2013,No matched historical weather observation
Hailakandi,Assam,2014,No matched historical weather observation
Hailakandi,Assam,2015,No matched historical weather observation
Hailakandi,Assam,2016,No matched historical weather observation
Hailakandi,Assam,2017,No matched historical weather observation
Hailakandi,Assam,2018,No matched historical weather observation
Hailakandi,Assam,2019,No matched historical weather observation
Hailakandi,Assam,2020,No matched historical weather observation
Hailakandi,Assam,2021,No matched historical weather observation
Hailakandi,Assam,2022,No matched historical weather observation
Hanumangarh,Rajasthan,2013,No matched historical weather observation
Hanumangarh,Rajasthan,2014,No matched historical weather observation
Hanumangarh,Rajasthan,2015,No matched historical weather observation
Hanumangarh,Rajasthan,2016,No matched historical weather observation
Hanumangarh,Rajasthan,2017,No matched historical weather observation
Hanumangarh,Rajasthan,2018,No matched historical weather observation
Hanumangarh,Rajasthan,2019,No matched historical weather observation
Hanumangarh,Rajasthan,2020,No matched historical weather observation
Hanumangarh,Rajasthan,2021,No matched historical weather observation
Hanumangarh,Rajasthan,2022,No matched historical weather observation
Hapur,Uttar Pradesh,2013,No matched historical weather observation
Hapur,Uttar Pradesh,2014,No matched historical weather observation
Hapur,Uttar Pradesh,2015,No matched historical weather observation
Hapur,Uttar Pradesh,2016,No matched historical weather observation
Hapur,Uttar Pradesh,2017,No matched historical weather observation
Hapur,Uttar Pradesh,2018,No matched historical weather observation
Hapur,Uttar Pradesh,2019,No matched historical weather observation
Hapur,Uttar Pradesh,2020,No matched historical weather observation
Hapur,Uttar Pradesh,2021,No matched historical weather observation
Hapur,Uttar Pradesh,2022,No matched historical weather observation
Hardoi,Uttar Pradesh,2013,No matched historical weather observation
Hardoi,Uttar Pradesh,2014,No matched historical weather observation
Hardoi,Uttar Pradesh,2015,No matched historical weather observation
Hardoi,Uttar Pradesh,2016,No matched historical weather observation
Hardoi,Uttar Pradesh,2017,No matched historical weather observation
Hardoi,Uttar Pradesh,2018,No matched historical weather observation
Hardoi,Uttar Pradesh,2019,No matched historical weather observation
Hardoi,Uttar Pradesh,2020,No matched historical weather observation
Hardoi,Uttar Pradesh,2021,No matched historical weather observation
Hardoi,Uttar Pradesh,2022,No matched historical weather observation
Hassan,Karnataka,2013,No matched historical weather observation
Hassan,Karnataka,2014,No matched historical weather observation
Hassan,Karnataka,2015,No matched historical weather observation
Hassan,Karnataka,2016,No matched historical weather observation
Hassan,Karnataka,2017,No matched historical weather observation
Hassan,Karnataka,2018,No matched historical weather observation
Hassan,Karnataka,2019,No matched historical weather observation
Hassan,Karnataka,2020,No matched historical weather observation
Hassan,Karnataka,2021,No matched historical weather observation
Hassan,Karnataka,2022,No matched historical weather observation
Haveri,Karnataka,2013,No matched historical weather observation
Haveri,Karnataka,2014,No matched historical weather observation
Haveri,Karnataka,2015,No matched historical weather observation
Haveri,Karnataka,2016,No matched historical weather observation
Haveri,Karnataka,2017,No matched historical weather observation
Haveri,Karnataka,2018,No matched historical weather observation
Haveri,Karnataka,2019,No matched historical weather observation
Haveri,Karnataka,2020,No matched historical weather observation
Haveri,Karnataka,2021,No matched historical weather observation
Haveri,Karnataka,2022,No matched historical weather observation
Hazaribagh,Jharkhand,2013,No matched historical weather observation
Hazaribagh,Jharkhand,2014,No matched historical weather observation
Hazaribagh,Jharkhand,2015,No matched historical weather observation
Hazaribagh,Jharkhand,2016,No matched historical weather observation
Hazaribagh,Jharkhand,2017,No matched historical weather observation
Hazaribagh,Jharkhand,2018,No matched historical weather observation
Hazaribagh,Jharkhand,2019,No matched historical weather observation
Hazaribagh,Jharkhand,2020,No matched historical weather observation
Hazaribagh,Jharkhand,2021,No matched historical weather observation
Hazaribagh,Jharkhand,2022,No matched historical weather observation
Hisar,Haryana,2013,No matched historical weather observation
Hisar,Haryana,2014,No matched historical weather observation
Hisar,Haryana,2015,No matched historical weather observation
Hisar,Haryana,2016,No matched historical weather observation
Hisar,Haryana,2017,No matched historical weather observation
Hisar,Haryana,2018,No matched historical weather observation
Hisar,Haryana,2019,No matched historical weather observation
Hisar,Haryana,2020,No matched historical weather observation
Hisar,Haryana,2021,No matched historical weather observation
Hisar,Haryana,2022,No matched historical weather observation
Hojai,Assam,2020,No matched historical weather observation
Hojai,Assam,2021,No matched historical weather observation
Hojai,Assam,2022,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2013,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2014,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2015,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2016,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2017,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2018,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2019,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2020,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2021,No matched historical weather observation
Hoshangabad,Madhya Pradesh,2022,No matched historical weather observation
Hoshiarpur,Punjab,2013,No matched historical weather observation
Hoshiarpur,Punjab,2014,No matched historical weather observation
Hoshiarpur,Punjab,2015,No matched historical weather observation
Hoshiarpur,Punjab,2016,No matched historical weather observation
Hoshiarpur,Punjab,2017,No matched historical weather observation
Hoshiarpur,Punjab,2018,No matched historical weather observation
Hoshiarpur,Punjab,2019,No matched historical weather observation
Hoshiarpur,Punjab,2020,No matched historical weather observation
Hoshiarpur,Punjab,2021,No matched historical weather observation
Hoshiarpur,Punjab,2022,No matched historical weather observation
Imphal east,Manipur,2013,No matched historical weather observation
Imphal east,Manipur,2014,No matched historical weather observation
Imphal east,Manipur,2015,No matched historical weather observation
Imphal east,Manipur,2016,No matched historical weather observation
Imphal east,Manipur,2017,No matched historical weather observation
Imphal east,Manipur,2018,No matched historical weather observation
Imphal east,Manipur,2019,No matched historical weather observation
Imphal east,Manipur,2020,No matched historical weather observation
Imphal east,Manipur,2021,No matched historical weather observation
Imphal east,Manipur,2022,No matched historical weather observation
Imphal west,Manipur,2013,No matched historical weather observation
Imphal west,Manipur,2014,No matched historical weather observation
Imphal west,Manipur,2015,No matched historical weather observation
Imphal west,Manipur,2016,No matched historical weather observation
Imphal west,Manipur,2017,No matched historical weather observation
Imphal west,Manipur,2018,No matched historical weather observation
Imphal west,Manipur,2019,No matched historical weather observation
Imphal west,Manipur,2020,No matched historical weather observation
Imphal west,Manipur,2021,No matched historical weather observation
Imphal west,Manipur,2022,No matched historical weather observation
Jabalpur,Madhya Pradesh,2013,No matched historical weather observation
Jabalpur,Madhya Pradesh,2014,No matched historical weather observation
Jabalpur,Madhya Pradesh,2015,No matched historical weather observation
Jabalpur,Madhya Pradesh,2016,No matched historical weather observation
Jabalpur,Madhya Pradesh,2017,No matched historical weather observation
Jabalpur,Madhya Pradesh,2018,No matched historical weather observation
Jabalpur,Madhya Pradesh,2019,No matched historical weather observation
Jabalpur,Madhya Pradesh,2020,No matched historical weather observation
Jabalpur,Madhya Pradesh,2021,No matched historical weather observation
Jabalpur,Madhya Pradesh,2022,No matched historical weather observation
Jagatsinghapur,Odisha,2013,No matched historical weather observation
Jagatsinghapur,Odisha,2014,No matched historical weather observation
Jagatsinghapur,Odisha,2015,No matched historical weather observation
Jagatsinghapur,Odisha,2016,No matched historical weather observation
Jagatsinghapur,Odisha,2017,No matched historical weather observation
Jagatsinghapur,Odisha,2018,No matched historical weather observation
Jagatsinghapur,Odisha,2019,No matched historical weather observation
Jagatsinghapur,Odisha,2020,No matched historical weather observation
Jagatsinghapur,Odisha,2021,No matched historical weather observation
Jagatsinghapur,Odisha,2022,No matched historical weather observation
Jajapur,Odisha,2013,No matched historical weather observation
Jajapur,Odisha,2014,No matched historical weather observation
Jajapur,Odisha,2015,No matched historical weather observation
Jajapur,Odisha,2016,No matched historical weather observation
Jajapur,Odisha,2017,No matched historical weather observation
Jajapur,Odisha,2018,No matched historical weather observation
Jajapur,Odisha,2019,No matched historical weather observation
Jajapur,Odisha,2020,No matched historical weather observation
Jajapur,Odisha,2021,No matched historical weather observation
Jajapur,Odisha,2022,No matched historical weather observation
Jammu,Jammu and Kashmir,2014,No matched historical weather observation
Jammu,Jammu and Kashmir,2015,No matched historical weather observation
Jammu,Jammu and Kashmir,2016,No matched historical weather observation
Jammu,Jammu and Kashmir,2017,No matched historical weather observation
Jammu,Jammu and Kashmir,2018,No matched historical weather observation
Jammu,Jammu and Kashmir,2019,No matched historical weather observation
Jammu,Jammu and Kashmir,2020,No matched historical weather observation
Jamtara,Jharkhand,2013,No matched historical weather observation
Jamtara,Jharkhand,2014,No matched historical weather observation
Jamtara,Jharkhand,2015,No matched historical weather observation
Jamtara,Jharkhand,2016,No matched historical weather observation
Jamtara,Jharkhand,2017,No matched historical weather observation
Jamtara,Jharkhand,2018,No matched historical weather observation
Jamtara,Jharkhand,2019,No matched historical weather observation
Jamtara,Jharkhand,2020,No matched historical weather observation
Jamtara,Jharkhand,2021,No matched historical weather observation
Jamtara,Jharkhand,2022,No matched historical weather observation
Jamui,Bihar,2013,No matched historical weather observation
Jamui,Bihar,2014,No matched historical weather observation
Jamui,Bihar,2015,No matched historical weather observation
Jamui,Bihar,2016,No matched historical weather observation
Jamui,Bihar,2017,No matched historical weather observation
Jamui,Bihar,2018,No matched historical weather observation
Jamui,Bihar,2019,No matched historical weather observation
Jamui,Bihar,2020,No matched historical weather observation
Jamui,Bihar,2021,No matched historical weather observation
Jamui,Bihar,2022,No matched historical weather observation
Jashpur,Chhattisgarh,2013,No matched historical weather observation
Jashpur,Chhattisgarh,2014,No matched historical weather observation
Jashpur,Chhattisgarh,2015,No matched historical weather observation
Jashpur,Chhattisgarh,2016,No matched historical weather observation
Jashpur,Chhattisgarh,2017,No matched historical weather observation
Jashpur,Chhattisgarh,2018,No matched historical weather observation
Jashpur,Chhattisgarh,2019,No matched historical weather observation
Jashpur,Chhattisgarh,2020,No matched historical weather observation
Jashpur,Chhattisgarh,2021,No matched historical weather observation
Jashpur,Chhattisgarh,2022,No matched historical weather observation
Jaunpur,Uttar Pradesh,2013,No matched historical weather observation
Jaunpur,Uttar Pradesh,2014,No matched historical weather observation
Jaunpur,Uttar Pradesh,2015,No matched historical weather observation
Jaunpur,Uttar Pradesh,2016,No matched historical weather observation
