District,State,Region,Year,Season,Crop,Latitude,Longitude,SoilType,IrrigationLevel,Rainfall,Temperature,Humidity,SoilMoisture,NDVI_Flowering,WaterStress,PestRisk,SuitabilityScore,YieldIndex,Failure,RecommendedCrop,IsRecommendedCrop
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2024,Zaid,Groundnut,26.8467,80.9462,Alluvial,High,92.99,31.68,49.07,38.36,0.78,0.219,0.421,0.921,84.1,0,Groundnut,1
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2024,Zaid,Millet,26.8467,80.9462,Alluvial,High,73.24,31.48,48.42,27.92,0.775,0.214,0.437,0.919,87.42,0,Groundnut,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Rice,26.8467,80.9462,Alluvial,High,174.21,26.89,67.22,55.41,0.803,0.391,0.474,0.978,86.13,0,Rice,1
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Maize,26.8467,80.9462,Alluvial,High,191.26,26.2,71.79,70.68,0.725,0.047,0.529,0.843,84.39,0,Rice,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Cotton,26.8467,80.9462,Alluvial,High,184.58,27.97,66.47,61.96,0.591,0.084,0.399,0.698,84.22,0,Rice,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Soybean,26.8467,80.9462,Alluvial,High,162.82,25.74,63.3,66.13,0.775,0.083,0.424,0.901,84.24,0,Rice,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Rabi,Wheat,26.8467,80.9462,Alluvial,High,141.85,24.97,40.81,30.67,0.697,0.36,0.502,0.791,71.51,0,Mustard,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Rabi,Mustard,26.8467,80.9462,Alluvial,High,107.97,22.14,45.69,36.85,0.8,0.177,0.439,0.98,95.48,0,Mustard,1
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Rabi,Chickpea,26.8467,80.9462,Alluvial,High,98.4,21.42,54.77,32.17,0.714,0.148,0.393,0.894,80.64,0,Mustard,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Zaid,Groundnut,26.8467,80.9462,Alluvial,High,74.63,33.04,54.18,27.6,0.729,0.327,0.416,0.819,84.8,1,Groundnut,1
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2025,Zaid,Millet,26.8467,80.9462,Alluvial,High,110.81,27.85,58.48,35.14,0.695,0.087,0.427,0.757,81.74,0,Groundnut,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Rice,26.8467,80.9462,Alluvial,High,148.62,28.71,85.31,52.99,0.738,0.572,0.479,0.926,79.81,0,Rice,1
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Maize,26.8467,80.9462,Alluvial,High,186.62,31.71,78.38,59.12,0.78,0.096,0.468,0.892,86.93,0,Rice,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Cotton,26.8467,80.9462,Alluvial,High,197.65,31.63,62.21,61.9,0.572,0.093,0.483,0.619,75.45,0,Rice,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Soybean,26.8467,80.9462,Alluvial,High,158.25,29.67,60.45,41.97,0.654,0.37,0.494,0.743,70.74,0,Rice,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Rabi,Wheat,26.8467,80.9462,Alluvial,High,78.47,22.17,49.7,32.48,0.745,0.379,0.353,0.98,92.58,0,Wheat,1
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Rabi,Mustard,26.8467,80.9462,Alluvial,High,92.88,20.22,59.49,50.17,0.742,0.096,0.507,0.935,89.91,0,Wheat,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Rabi,Chickpea,26.8467,80.9462,Alluvial,High,107.33,23.26,55.78,29.87,0.778,0.266,0.473,0.892,92.32,0,Wheat,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Zaid,Groundnut,26.8467,80.9462,Alluvial,High,117.62,33.77,42.12,23.73,0.661,0.403,0.463,0.722,75.4,0,Millet,0
Lucknow,Uttar Pradesh,Indo Gangetic Plains,2026,Zaid,Millet,26.8467,80.9462,Alluvial,High,100.05,33.73,38.31,26.76,0.68,0.238,0.492,0.748,72.53,0,Millet,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Rice,26.4499,80.3319,Alluvial,High,174.2,31.38,70.13,71.5,0.759,0.203,0.517,0.98,91.44,0,Rice,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Maize,26.4499,80.3319,Alluvial,High,171.21,30.77,53.87,57.36,0.699,0.138,0.458,0.864,84.88,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Cotton,26.4499,80.3319,Alluvial,High,183.86,28.68,67.97,64.94,0.642,0.073,0.459,0.674,72.92,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Soybean,26.4499,80.3319,Alluvial,High,162.82,31.14,81.96,53.6,0.682,0.231,0.539,0.754,77.59,1,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Rabi,Wheat,26.4499,80.3319,Alluvial,High,103.21,24.47,49.91,33.47,0.793,0.359,0.376,0.923,82.3,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Rabi,Mustard,26.4499,80.3319,Alluvial,High,120.34,19.75,48.15,28.56,0.791,0.235,0.315,0.882,82.04,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,109.0,25.09,37.66,45.51,0.782,0.046,0.375,0.916,91.62,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,90.49,30.41,49.54,38.22,0.757,0.225,0.48,0.944,80.49,0,Groundnut,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2018,Zaid,Millet,26.4499,80.3319,Alluvial,High,85.86,30.14,52.6,22.4,0.709,0.273,0.407,0.813,77.11,0,Groundnut,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Rice,26.4499,80.3319,Alluvial,High,204.6,27.18,70.21,49.31,0.751,0.476,0.441,0.956,84.16,1,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Maize,26.4499,80.3319,Alluvial,High,167.91,27.57,73.09,57.58,0.769,0.044,0.472,0.98,99.16,0,Maize,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Cotton,26.4499,80.3319,Alluvial,High,154.07,34.37,60.79,52.2,0.626,0.124,0.494,0.753,82.54,1,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Soybean,26.4499,80.3319,Alluvial,High,150.99,30.19,61.17,61.89,0.759,0.097,0.491,0.821,81.64,0,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Rabi,Wheat,26.4499,80.3319,Alluvial,High,95.82,23.09,42.57,28.95,0.815,0.357,0.406,0.976,85.72,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Rabi,Mustard,26.4499,80.3319,Alluvial,High,114.92,24.25,63.36,30.37,0.708,0.245,0.341,0.853,82.71,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,107.64,21.18,54.13,41.79,0.744,0.02,0.356,0.914,87.73,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,81.78,30.1,47.2,35.41,0.771,0.191,0.394,0.938,87.18,0,Groundnut,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2019,Zaid,Millet,26.4499,80.3319,Alluvial,High,112.81,34.59,39.09,37.43,0.674,0.111,0.41,0.788,75.28,1,Groundnut,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Rice,26.4499,80.3319,Alluvial,High,164.36,30.42,62.97,62.88,0.792,0.344,0.413,0.974,84.12,0,Rice,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Maize,26.4499,80.3319,Alluvial,High,148.6,30.79,70.6,62.82,0.749,0.136,0.548,0.897,90.55,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Cotton,26.4499,80.3319,Alluvial,High,179.5,30.15,71.92,52.94,0.69,0.093,0.5,0.76,76.77,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Soybean,26.4499,80.3319,Alluvial,High,174.59,35.98,71.13,47.41,0.612,0.306,0.453,0.576,64.81,1,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Rabi,Wheat,26.4499,80.3319,Alluvial,High,96.5,19.06,54.35,45.0,0.803,0.143,0.358,0.98,97.3,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Rabi,Mustard,26.4499,80.3319,Alluvial,High,126.03,20.18,46.14,37.26,0.785,0.148,0.336,0.919,89.56,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,108.29,23.51,52.24,34.49,0.783,0.155,0.472,0.947,95.46,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,88.59,30.03,44.49,32.81,0.775,0.302,0.384,0.919,82.96,0,Groundnut,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2020,Zaid,Millet,26.4499,80.3319,Alluvial,High,83.75,32.56,45.28,32.25,0.82,0.117,0.45,0.883,79.03,1,Groundnut,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Rice,26.4499,80.3319,Alluvial,High,174.44,20.84,72.72,73.35,0.784,0.069,0.483,0.872,86.45,0,Rice,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Maize,26.4499,80.3319,Alluvial,High,186.41,31.3,72.09,54.71,0.728,0.186,0.531,0.807,71.19,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Cotton,26.4499,80.3319,Alluvial,High,142.51,30.6,70.75,46.56,0.745,0.147,0.472,0.848,75.05,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Soybean,26.4499,80.3319,Alluvial,High,170.7,31.33,69.71,55.89,0.711,0.142,0.492,0.752,77.29,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Rabi,Wheat,26.4499,80.3319,Alluvial,High,93.12,23.35,50.2,33.57,0.775,0.271,0.414,0.98,90.86,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Rabi,Mustard,26.4499,80.3319,Alluvial,High,132.33,21.66,43.87,28.05,0.793,0.326,0.4,0.89,79.74,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,97.7,25.66,54.61,53.61,0.756,0.068,0.345,0.933,90.16,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,90.32,30.61,47.59,40.1,0.778,0.146,0.456,0.945,75.51,0,Groundnut,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2021,Zaid,Millet,26.4499,80.3319,Alluvial,High,65.87,32.27,45.94,28.3,0.784,0.172,0.456,0.938,88.83,1,Groundnut,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Kharif,Rice,26.4499,80.3319,Alluvial,High,171.12,26.74,64.2,67.18,0.726,0.242,0.502,0.98,89.66,0,Rice,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Kharif,Maize,26.4499,80.3319,Alluvial,High,175.24,31.95,55.53,67.08,0.774,0.104,0.473,0.875,88.48,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Kharif,Cotton,26.4499,80.3319,Alluvial,High,143.98,28.88,67.09,61.11,0.763,0.12,0.428,0.853,86.07,1,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Kharif,Soybean,26.4499,80.3319,Alluvial,High,173.15,23.0,84.88,62.53,0.73,0.076,0.49,0.734,76.1,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Rabi,Wheat,26.4499,80.3319,Alluvial,High,104.39,25.15,54.1,35.57,0.863,0.302,0.421,0.972,89.52,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Rabi,Mustard,26.4499,80.3319,Alluvial,High,97.55,19.12,41.71,31.86,0.827,0.247,0.324,0.945,85.87,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,102.45,21.53,57.87,28.05,0.84,0.263,0.38,0.941,89.91,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,101.22,35.26,43.82,28.98,0.668,0.312,0.39,0.734,83.55,1,Millet,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2022,Zaid,Millet,26.4499,80.3319,Alluvial,High,104.13,34.5,43.11,34.18,0.712,0.096,0.41,0.789,75.96,1,Millet,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Kharif,Rice,26.4499,80.3319,Alluvial,High,137.75,31.62,74.76,78.23,0.756,0.232,0.502,0.941,88.32,0,Rice,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Kharif,Maize,26.4499,80.3319,Alluvial,High,136.34,32.54,62.61,57.72,0.732,0.082,0.466,0.894,89.89,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Kharif,Cotton,26.4499,80.3319,Alluvial,High,183.39,33.68,71.99,57.71,0.682,0.105,0.437,0.688,71.86,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Kharif,Soybean,26.4499,80.3319,Alluvial,High,167.66,33.0,77.21,67.59,0.627,0.1,0.481,0.703,68.77,0,Rice,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Rabi,Wheat,26.4499,80.3319,Alluvial,High,109.37,26.94,51.24,55.58,0.758,0.048,0.46,0.912,87.17,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Rabi,Mustard,26.4499,80.3319,Alluvial,High,120.53,24.99,47.46,35.59,0.776,0.224,0.413,0.901,95.01,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,115.26,26.25,63.99,45.5,0.727,0.103,0.512,0.861,86.93,1,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,84.75,32.44,46.95,45.74,0.748,0.064,0.456,0.888,93.97,1,Groundnut,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2023,Zaid,Millet,26.4499,80.3319,Alluvial,High,99.19,32.46,49.7,34.51,0.721,0.1,0.422,0.828,82.91,0,Groundnut,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Kharif,Rice,26.4499,80.3319,Alluvial,High,148.73,27.73,61.3,57.17,0.808,0.507,0.465,0.98,81.95,0,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Kharif,Maize,26.4499,80.3319,Alluvial,High,142.65,27.95,60.15,64.11,0.809,0.031,0.383,0.98,97.44,0,Maize,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Kharif,Cotton,26.4499,80.3319,Alluvial,High,138.83,32.36,61.78,66.39,0.662,0.107,0.392,0.855,87.7,1,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Kharif,Soybean,26.4499,80.3319,Alluvial,High,153.41,32.22,57.86,67.93,0.615,0.134,0.451,0.703,84.44,1,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Rabi,Wheat,26.4499,80.3319,Alluvial,High,100.64,22.77,60.68,39.5,0.784,0.234,0.475,0.98,89.86,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Rabi,Mustard,26.4499,80.3319,Alluvial,High,93.14,19.42,44.75,47.99,0.799,0.02,0.392,0.953,92.26,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,94.07,17.83,56.46,37.94,0.706,0.071,0.401,0.864,94.06,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,93.6,32.68,52.05,36.85,0.698,0.187,0.384,0.753,77.63,1,Groundnut,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2024,Zaid,Millet,26.4499,80.3319,Alluvial,High,101.27,34.48,46.33,25.06,0.698,0.168,0.476,0.724,75.44,0,Groundnut,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Rice,26.4499,80.3319,Alluvial,High,165.65,31.85,58.65,61.99,0.736,0.365,0.366,0.907,85.94,0,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Maize,26.4499,80.3319,Alluvial,High,174.24,29.84,63.55,55.58,0.735,0.143,0.544,0.914,86.72,0,Maize,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Cotton,26.4499,80.3319,Alluvial,High,180.43,30.37,74.14,53.73,0.674,0.064,0.471,0.747,74.05,0,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Kharif,Soybean,26.4499,80.3319,Alluvial,High,178.31,29.32,60.64,56.13,0.675,0.115,0.455,0.772,82.39,1,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Rabi,Wheat,26.4499,80.3319,Alluvial,High,112.3,24.08,41.93,28.29,0.687,0.42,0.393,0.849,80.11,0,Wheat,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Rabi,Mustard,26.4499,80.3319,Alluvial,High,87.69,27.01,39.86,29.5,0.721,0.232,0.345,0.813,75.34,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,130.99,20.99,51.53,25.69,0.704,0.304,0.433,0.832,84.9,0,Wheat,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,89.29,32.09,41.04,27.52,0.745,0.355,0.4,0.867,92.88,1,Groundnut,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2025,Zaid,Millet,26.4499,80.3319,Alluvial,High,85.62,32.33,47.02,26.39,0.764,0.155,0.382,0.835,81.62,0,Groundnut,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Rice,26.4499,80.3319,Alluvial,High,184.03,32.58,66.15,55.71,0.735,0.419,0.527,0.816,75.59,0,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Maize,26.4499,80.3319,Alluvial,High,182.27,27.27,73.15,57.84,0.681,0.084,0.53,0.883,93.91,0,Maize,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Cotton,26.4499,80.3319,Alluvial,High,167.31,32.6,64.84,53.88,0.588,0.125,0.447,0.687,71.5,0,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Kharif,Soybean,26.4499,80.3319,Alluvial,High,196.22,35.11,56.37,55.16,0.602,0.164,0.436,0.526,65.54,0,Maize,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Rabi,Wheat,26.4499,80.3319,Alluvial,High,110.75,23.97,31.33,35.47,0.809,0.238,0.342,0.935,83.13,0,Mustard,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Rabi,Mustard,26.4499,80.3319,Alluvial,High,89.72,22.58,31.75,27.32,0.797,0.237,0.334,0.94,93.44,0,Mustard,1
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Rabi,Chickpea,26.4499,80.3319,Alluvial,High,103.06,26.27,48.39,34.63,0.718,0.156,0.388,0.912,87.6,0,Mustard,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Zaid,Groundnut,26.4499,80.3319,Alluvial,High,78.02,33.1,56.43,25.35,0.702,0.379,0.388,0.807,84.48,1,Millet,0
Kanpur,Uttar Pradesh,Indo Gangetic Plains,2026,Zaid,Millet,26.4499,80.3319,Alluvial,High,80.06,31.42,54.49,39.95,0.744,0.077,0.442,0.836,81.72,0,Millet,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Rice,25.3176,82.9739,Alluvial,High,203.76,29.91,73.14,64.07,0.762,0.284,0.518,0.939,83.19,0,Rice,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Maize,25.3176,82.9739,Alluvial,High,193.83,30.38,85.66,56.75,0.703,0.064,0.474,0.808,80.56,1,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Cotton,25.3176,82.9739,Alluvial,High,172.25,33.3,83.86,68.04,0.593,0.14,0.532,0.599,67.68,0,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Kharif,Soybean,25.3176,82.9739,Alluvial,High,170.86,31.08,79.49,48.72,0.613,0.218,0.481,0.679,74.82,1,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Rabi,Wheat,25.3176,82.9739,Alluvial,High,114.82,20.08,58.0,45.05,0.784,0.168,0.324,0.98,94.99,0,Wheat,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Rabi,Mustard,25.3176,82.9739,Alluvial,High,112.09,24.24,66.52,43.8,0.736,0.163,0.468,0.832,77.45,0,Wheat,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Rabi,Chickpea,25.3176,82.9739,Alluvial,High,133.72,20.5,55.52,29.14,0.758,0.244,0.378,0.82,76.23,0,Wheat,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Zaid,Groundnut,25.3176,82.9739,Alluvial,High,103.79,35.06,47.08,44.56,0.682,0.074,0.478,0.769,89.9,0,Groundnut,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2018,Zaid,Millet,25.3176,82.9739,Alluvial,High,122.24,29.72,54.97,41.77,0.696,0.139,0.514,0.749,77.52,0,Groundnut,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Rice,25.3176,82.9739,Alluvial,High,195.63,27.58,71.23,58.82,0.791,0.437,0.464,0.963,83.41,1,Rice,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Maize,25.3176,82.9739,Alluvial,High,203.03,30.96,71.26,43.73,0.622,0.301,0.428,0.743,81.06,0,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Cotton,25.3176,82.9739,Alluvial,High,166.5,31.97,67.37,50.12,0.706,0.106,0.502,0.782,80.49,0,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Kharif,Soybean,25.3176,82.9739,Alluvial,High,213.13,29.32,83.89,56.49,0.67,0.171,0.473,0.683,78.68,1,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Rabi,Wheat,25.3176,82.9739,Alluvial,High,114.56,21.45,52.57,49.69,0.762,0.139,0.422,0.98,100.0,0,Wheat,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Rabi,Mustard,25.3176,82.9739,Alluvial,High,103.43,22.92,42.58,41.48,0.789,0.082,0.342,0.98,97.22,0,Wheat,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Rabi,Chickpea,25.3176,82.9739,Alluvial,High,147.19,25.87,44.46,31.71,0.729,0.163,0.41,0.856,84.6,0,Wheat,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Zaid,Groundnut,25.3176,82.9739,Alluvial,High,120.69,30.11,43.8,37.77,0.716,0.204,0.355,0.884,85.25,0,Groundnut,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2019,Zaid,Millet,25.3176,82.9739,Alluvial,High,98.02,30.41,46.46,46.06,0.687,0.077,0.354,0.826,80.45,1,Groundnut,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Rice,25.3176,82.9739,Alluvial,High,210.25,30.39,72.75,63.13,0.735,0.297,0.543,0.852,85.0,0,Maize,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Maize,25.3176,82.9739,Alluvial,High,153.7,33.33,71.16,50.76,0.73,0.236,0.505,0.867,83.9,1,Maize,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Cotton,25.3176,82.9739,Alluvial,High,192.54,33.72,77.26,59.34,0.64,0.087,0.577,0.671,80.91,1,Maize,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Kharif,Soybean,25.3176,82.9739,Alluvial,High,203.41,32.36,75.21,55.43,0.63,0.131,0.503,0.647,73.31,0,Maize,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Rabi,Wheat,25.3176,82.9739,Alluvial,High,134.62,24.73,53.07,42.05,0.721,0.22,0.417,0.913,98.5,0,Wheat,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Rabi,Mustard,25.3176,82.9739,Alluvial,High,117.99,22.96,47.97,22.09,0.751,0.307,0.37,0.9,83.85,0,Wheat,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Rabi,Chickpea,25.3176,82.9739,Alluvial,High,108.54,26.39,59.64,31.52,0.741,0.184,0.404,0.879,90.2,0,Wheat,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Zaid,Groundnut,25.3176,82.9739,Alluvial,High,101.31,33.16,37.19,31.67,0.731,0.358,0.456,0.827,85.51,1,Groundnut,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2020,Zaid,Millet,25.3176,82.9739,Alluvial,High,104.61,35.04,47.09,32.86,0.694,0.083,0.41,0.754,82.0,0,Groundnut,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Rice,25.3176,82.9739,Alluvial,High,156.71,28.08,66.82,61.32,0.822,0.421,0.502,0.98,88.98,0,Rice,1
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Maize,25.3176,82.9739,Alluvial,High,194.71,31.43,81.9,39.23,0.682,0.389,0.573,0.774,67.63,0,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Cotton,25.3176,82.9739,Alluvial,High,161.74,30.08,70.77,45.53,0.733,0.21,0.46,0.817,80.83,0,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2021,Kharif,Soybean,25.3176,82.9739,Alluvial,High,134.65,28.49,73.04,49.32,0.72,0.219,0.479,0.841,84.85,1,Rice,0
Varanasi,Uttar Pradesh,Indo Gangetic Plains,2021,Rabi,Wheat,25.3176,82.9739,Alluvial,High,111.35,22.58,42.82,39.69,0.825,0.251,0.424,0.974,85.19,0,Wheat,1
